date,temp,pmsnm,dir_v,int_v
2020-04-27 00,14.7,1027,90,10
2020-04-27 01,14.9,1027,70,12
2020-04-27 02,15.2,1027,70,10
2020-04-27 03,15.4,1026.8,70,11
2020-04-27 04,15.4,1027.2,70,9
2020-04-27 05,15.5,1027.2,70,8
2020-04-27 06,15.9,1026.5,50,8
2020-04-27 07,16,1026.1,70,8
2020-04-27 08,15.8,1025.7,90,9
2020-04-27 09,16.1,1026.1,50,10
2020-04-27 10,15.9,1025.4,50,9
2020-04-27 11,16,1025.2,70,11
2020-04-27 12,16.5,1025.2,50,11
2020-04-27 13,16.7,1025.3,50,15
2020-04-27 14,16.7,1024.5,50,18
2020-04-27 15,16.7,1023.8,50,13
2020-04-27 16,16.6,1022.2,50,20
2020-04-27 17,16.5,1022.4,50,11
2020-04-27 18,16.5,1021.4,50,13
2020-04-27 19,16.3,1017.7,70,22
2020-04-27 20,16.6,1018,50,16
2020-04-27 21,16.2,1018,70,20
2020-04-27 22,16.2,1017.2,70,17
2020-04-27 23,16.1,1016,70,22
2020-04-28 00,16.1,1016,70,20
2020-04-28 01,16.2,1015.6,90,14
2020-04-28 02,16.5,1014.4,70,16
2020-04-28 03,16.7,1012.9,50,11
2020-04-28 04,17.1,1012,50,14
2020-04-28 05,17.3,1011,50,15
2020-04-28 06,17.5,1010,20,9
2020-04-28 07,17.8,1009.4,50,10
2020-04-28 08,17.5,1008.5,50,8
2020-04-28 09,17.8,1007.3,50,8
2020-04-28 10,17.8,1006.6,20,5
2020-04-28 11,17.8,1008.5,340,5
2020-04-28 12,17.7,1007.3,50,5
2020-04-28 13,17.7,1006.6,360,5
2020-04-28 14,17.8,1005.7,360,8
2020-04-28 15,17.8,1004.8,20,8
2020-04-28 16,18.7,1003.4,20,5
2020-04-28 17,18.4,1002.4,20,4
2020-04-28 18,18.6,1001.4,340,5
2020-04-28 19,17.1,1001.7,270,12
2020-04-28 20,16.8,1001.7,250,14
2020-04-28 21,16.1,1002.2,270,12
2020-04-28 22,15.6,1002.9,270,16
2020-04-28 23,15.4,1003,270,15
2020-04-29 00,15.1,1003.6,270,14
2020-04-29 01,14.8,1003.4,270,9
2020-04-29 02,14.3,1003.4,270,15
2020-04-29 03,14.1,1003.7,270,15
2020-04-29 04,13.4,1004.2,270,8
2020-04-29 05,13.1,1004,270,14
2020-04-29 06,14.1,1003.4,270,15
2020-04-29 07,14.3,1002.8,270,18
2020-04-29 08,14.4,1003,270,17
2020-04-29 09,14.4,1003.3,270,16
2020-04-29 10,14.5,1003.8,270,17
2020-04-29 11,14.7,1004.4,270,19
2020-04-29 12,14.8,1004.9,270,18
2020-04-29 14,16.7,1005.8,270,20
2020-04-29 15,17.8,1005.8,250,19
2020-04-29 16,17.9,1006.1,250,21
2020-04-29 17,17.3,1006.3,250,18
2020-04-29 18,17.9,1006.6,250,20
2020-04-29 19,17.1,1007.6,230,15
2020-04-29 20,17.2,1007.6,250,20
2020-04-29 21,16,1008.6,250,16
2020-04-29 22,15.2,1009.4,250,15
2020-04-29 23,14.8,1010.1,510,2
2020-04-30 00,14.3,1010.8,250,9
2020-04-30 01,14.1,1011.4,250,9
2020-04-30 02,14.5,1011.4,230,10
2020-04-30 03,14.2,1012,230,8
2020-04-30 04,14.1,1012.1,230,6
2020-04-30 05,14.1,1012.8,200,6
2020-04-30 06,14.1,1012.8,200,6
2020-04-30 07,14,1013,200,8
2020-04-30 08,13.6,1013.6,200,8
2020-04-30 09,13.7,1014,200,6
2020-04-30 10,13.6,1014.8,230,5
2020-04-30 11,13.9,1015.6,250,4
2020-04-30 12,13.9,1015.7,250,4
2020-04-30 13,15,1016.4,200,7
2020-04-30 14,16,1016.6,200,8
2020-04-30 15,16.8,1016.9,200,9
2020-04-30 16,17,1016.8,200,6
2020-04-30 17,17.1,1016.8,200,7
2020-04-30 18,17.5,1016.8,200,9
2020-04-30 19,17,1016.8,200,8
2020-04-30 20,16.5,1016.8,200,8
2020-04-30 21,15,1017,200,3